ID,age,male,friend_cnt,avg_friend_age,avg_friend_male,friend_country_cnt,subscriber_friend_cnt,songsListened,lovedTracks,posts,playlists,shouts,adopter,tenure,good_country
40301,27,1,7,26,0.75,1,0,52984,351,15,14,9,1,64,0
40302,31,1,37,26.23333333,0.594594595,4,5,37677,567,0,2,4,1,63,0
40303,22,1,90,22.31818182,0.473684211,21,2,68217,787,0,1,53,1,39,0
40304,34,0,9,36.85714286,0.875,5,1,13439,34,0,0,6,1,69,0
40305,31,1,15,27.33333333,0.307692308,2,2,48713,15,3,0,20,1,79,0
40306,32,1,8,32.16666667,1,3,0,16485,34,1,0,2,1,71,1
40307,23,1,336,24.83557047,0.846905538,41,16,36417,39,2,0,395,1,82,1
40308,21,1,12,22,0.555555556,4,0,18267,403,0,0,7,1,32,0
40309,30,1,5,29.66666667,1,3,1,2550,77,0,1,1,1,72,0
40310,17,1,87,19.74647887,0.518518519,22,4,11227,74,0,2,81,1,11,0
40311,25,1,31,25.68181818,0.642857143,3,0,36204,65,0,1,17,1,60,0
40312,24,1,4,26,0.5,1,0,27150,100,0,0,1,1,59,0
40313,20,1,12,21.18181818,0.583333333,4,0,46754,167,15,1,18,1,65,1
40314,24,0,47,23.89189189,0.170731707,3,1,46089,396,4,1,57,1,60,0
40315,28,1,10,26.28571429,0.875,5,0,59282,952,2,1,41,1,76,0
40316,20,1,76,22.43333333,0.681818182,21,3,109500,429,1,1,66,1,56,0
40317,27,0,17,24.46153846,0.058823529,6,2,46420,512,1,0,0,1,52,0
40318,22,0,46,23.08823529,0.578947368,12,0,14309,104,2,1,50,1,58,0
40319,29,1,6,29.5,1,2,1,30422,138,1,1,4,1,65,0
40320,29,1,3,24,0,1,0,25798,17,4,2,8,1,59,0
40321,28,1,3,32,1,2,0,9989,1,0,0,4,1,65,1
40322,20,1,93,20.91358025,0.56626506,6,5,34414,165,4,2,83,1,20,0
40323,26,1,1,24,1,1,0,10172,28,0,0,4,1,18,0
40324,44,1,5,12,0.25,3,0,2587,200,0,1,1,1,47,0
40325,31,1,9,29.42857143,0.285714286,2,1,11805,273,0,1,1,1,51,0
40326,16,0,42,17.54545455,0.512820513,4,0,8310,32,6,0,302,1,16,0
40327,21,0,94,24.32258065,0.87654321,31,5,40777,708,18,0,314,1,44,0
40328,19,1,125,21.35714286,0.801980198,21,3,93586,457,1,2,474,1,32,1
40329,37,1,8,31.66666667,0.571428571,4,0,14550,97,0,1,17,1,66,0
40330,17,1,6,15.75,0.666666667,3,0,826,0,0,0,0,1,38,0
40331,31,1,14,24,0.25,6,2,12974,962,0,2,42,1,35,1
40332,22,1,13,20,0.5,3,0,55276,190,34,2,5,1,64,1
40333,26,1,6,27.66666667,0.833333333,1,0,20614,8,1,1,1,1,21,1
40334,27,1,15,29.3,0.8,2,1,26152,2,0,0,3,1,68,1
40335,19,0,29,20.30434783,0.269230769,7,0,62131,65,6,1,21,1,66,0
